id,previsoes
1.35188E+037,64091.234375
2.99896E+038,64283.98046875
3.16181E+038,203450.921875
2.22527E+038,87801.03125
1.6046E+038,104977.8046875
2.62727E+038,60286.328125
2.54094E+038,134216.109375
2.61182E+037,208994.984375
2.16525E+035,222758.6875
1.85631E+038,229623.21875
1.93326E+038,128201.1796875
2.38918E+038,85558.6328125
5.54308E+037,97508.8671875
2.15318E+038,198728.109375
8.15972E+037,148689.09375
1.44897E+038,87908.90625
1.846E+038,199956.484375
3.32524E+038,115836.421875
1.15344E+038,167404.421875
2.07572E+037,84502.8671875
1.85526E+038,98883.7890625
6.0658E+037,90534.953125
2.5247E+038,225932.125
1.44289E+038,49178.765625
2.86705E+038,117307.5703125
1.04788E+038,67606.3203125
8.30916E+037,232390.375
2.53819E+038,68376.484375
4.75521E+037,127103.09375
1.43933E+038,153188.59375
1.96346E+038,183721.828125
2.44793E+038,58729.1328125
8.45899E+037,83022.8515625
2.722E+038,129059.3359375
4.99594E+037,79975.1484375
2.81027E+038,61560.5703125
9.30746E+037,195000.421875
2.67284E+037,375064.6875
1.88212E+038,52524.61328125
7.24879E+037,97417.328125
2.28864E+038,117759.453125
1.12454E+038,97081.484375
2.22663E+038,62032.765625
1.743E+038,77100.65625
6.56161E+037,135466.4375
1.25124E+037,255527.109375
3.36344E+038,46996.671875
7.95223E+037,62930.58984375
8.26898E+037,137375.484375
1.45087E+038,85404.6015625
1.4838E+038,62718.1171875
8.17834E+037,90889.1015625
1.7392E+037,65090.671875
2.21004E+038,208765.234375
3.2271E+037,116435.5625
4.47434E+037,116005.953125
2.5674E+038,210690.46875
1.0207E+038,140889.84375
2.95239E+038,74972.53125
2.17044E+038,104177.75
2.3063E+038,71464.0625
2.28795E+038,58952.30078125
2.26883E+038,118658.0234375
1.78728E+038,61435.66015625
2.33324E+038,112309.171875
1.20197E+038,69350.3203125
3.07588E+038,97733.7890625
1.47918E+038,61489.078125
3.22862E+038,175444.390625
2.39523E+038,323972.125
1.1351E+038,85387.078125
1.09891E+038,134366.859375
1.40473E+037,107521.3671875
1.85049E+038,101755.015625
2.33408E+038,35602.80859375
2.71869E+038,146343.734375
2.34267E+038,100423.5625
1.35194E+038,68240.5
6.53835E+037,118516.4296875
7.63501E+035,73006.6640625
2.63072E+038,106426.0859375
2.51188E+038,50755.73828125
2.54288E+038,288864.5625
2.8632E+038,137433.578125
1.81564E+037,142453.90625
1.324E+038,58629.01171875
1.03484E+038,280895.40625
3.91227E+036,269323.25
2.89443E+038,67090.5
7.81076E+037,77925.421875
3.56306E+037,117190.7421875
1.80495E+038,92780.3828125
3.10808E+038,75520.890625
2.81413E+038,90286.921875
1.15835E+038,82039.90625
5.7318E+036,123002.609375
2.56716E+038,148412.09375
2.87092E+038,142439.28125
3.42602E+037,74107.4140625
1.29712E+038,74075.2421875
6.38134E+037,80218.484375
2.33958E+038,117682.1953125
